Std_ID,Std_Name,Std_Gender,Std_SSN,Std_Age,Std_Email,Std_City,Std_Street,Std_ZipCode,Std_UniGradeYear,Std_EventStatus,Std_FreelancingStatus,Disease_Name,Std_EmcName,Std_EmcPhoneNo,Int_Name
165,Yasmine Sayed,Female,756842,25,yasmine.sayed@gmail.com,Luxor,Nile Corniche,56789,2019,1,1,,Salwa Amin,1125678901,Intake44_Round3
166,Amal Magdy,Female,398855,32,amal.magdy@gmail.com,Cairo,Naama Bay Road,67890,2012,0,1,,Tamer Mahmoud,1236789012,Intake44_Round3
167,Yasir Hewade,Male,227597,22,yasir.hewade@gmail.com,Sharm El Sheikh,Sheraton Street,78901,2022,0,0,,Yara Aziz,1137890123,Intake44_Round3
168,Aya Helmy,Female,757353,30,aya.helmy@gmail.com,Hurghada,Saad Zaghloul Street,89012,2014,0,1,Dental caries,Mohamed Salah,1124839234,Intake44_Round3
169,Yousef Salah,Male,333377,26,yousef.salah@gmail.com,Mansoura,Suez Canal Street,90123,2018,0,0,Anxiety disorder,Rania Mansour,1038901234,Intake44_Round3
170,Hanan Harby,Female,364754,31,hanan.harby@gmail.com,Port Said,Nile Corniche,11223,2013,0,1,,Salma Reda,1249012345,Intake44_Round3
171,Farrag Hassan,Male,112988,22,farrag.hassan@gmail.com,Sohag,Al Gamaa Street,22334,2022,1,1,Dental caries,Youssef Ali,1014357351,Intake44_Round3
172,Rasha Esmail,Female,545343,31,rasha.esmail@gmail.com,Assiut,El Mahalla Street,33445,2013,1,1,Back pain,Reham Adel,1140123456,Intake44_Round3
173,Mohamed Elhefnawy,Male,566588,24,mohamed.elhefnawy@gmail.com,Zagazig,Luxor Street,44556,2020,0,1,,Mahmoud Nasser,1237538527,Intake44_Round3
174,Mona El Attar,Female,643749,27,mona.elattar@gmail.com,Qena,Corniche Road,55667,2017,0,1,,Amira Hussein,1041234567,Intake44_Round3
175,Mahmoud Basuony,Male,986533,23,mahmoud.basuony@gmail.com,Damietta,Tahrir Street,66778,2021,1,0,Eczema,Ahmed Ali,1252345678,Intake44_Round3
176,Dalia Atef,Female,334568,32,dalia.atef@gmail.com,Minya,Port Fouad Street,77889,2012,0,0,Anxiety disorder,Sarah Ibrahim,1153456789,Intake44_Round3
177,Yasser Alsayed,Male,746333,24,yasser.alsayed@gmail.com,Ismailia,Gharbeya Street,88990,2020,1,1,Back pain,Mohamed Hassan,1054567890,Intake44_Round3
178,Samar Ali,Female,743785,28,samar.ali@gmail.com,Tanta,Masr Street,99001,2016,0,1,,Fatma Ahmed,1166472753,Intake44_Round3
179,Abdullh Mahmoud,Male,974757,22,abdullh.mahmoud@gmail.com,Fayoum,Ramses Street,11223,2022,1,1,Back pain,Omar Mahmoud,1265678901,Intake44_Round3
180,Sara Soliman,Female,126753,25,sara.soliman@gmail.com,Alexandria,Nasser Street,22334,2019,0,1,,Nour Abdelrahman,1166789012,Intake44_Round3
181,Walid Saad,Male,723598,26,walid.saad@gmail.com,Beni Suef,Corniche Road,33445,2018,1,0,,Aya Khalid,1067890123,Intake44_Round3
182,Salma Walid,Female,546734,23,salma.walid@gmail.com,Suez,6th October Street,44556,2021,0,1,Indigestion,Mahmoud Ibrahim,1278901234,Intake44_Round3
183,Tarek Sawan,Male,458712,24,tarek.sawan@gmail.com,Banha,Talaat Harb Street,55667,2020,1,0,,Yasmin Mohamed,1045462746,Intake44_Round3
184,Aya Hussein,Female,586325,24,aya.hussein@gmail.com,Shibin El Kom,Saad Zaghloul Street,66778,2020,0,1,Dental caries,Ali Ahmed,1179012345,Intake44_Round3
185,Leila Ebrahem,Female,689724,26,leila.ebrahem@gmail.com,Kafr El Sheikh,Alexandria Street,77889,2018,1,0,,Samar Mostafa,1070123456,Intake44_Round3
186,Islam Saad,Male,568557,32,islam.saad@gmail.com,Damanhur,Nile Corniche,88990,2012,0,1,,Karim Saad,1001234567,Intake44_Round3
187,Hany Ali,Male,695747,31,hany.ali@gmail.com,Damietta,Saad Zaghloul Street,99001,2013,1,0,Food poisoning,Nada Tarek,1149231153,Intake44_Round3
188,Mariam Abdelmohsen,Female,395759,28,mariam.abdelmohsen@gmail.com,Suez,Corniche Road,11223,2016,0,1,Back pain,Tamer Mahmoud,1212345678,Intake44_Round3
189,Kamal  Abdelfattah,Male,645699,24,kamal.abdelfattah@gmail.com,Qena,El Gharbeya Street,22334,2020,0,1,,Rana Samir,1113456789,Intake44_Round3
190,Anhar  Amin,Female,187634,27,anhaer.amin@gmail.com,Cairo,Ramses Street,33445,2017,1,0,Anxiety disorder,Khaled Nabil,1204593829,Intake44_Round3
191,Tamer Aboelsafa,Male,290358,22,tamer.aboelsafa@gmail.com,Luxor,Sheraton Street,44556,2022,1,0,Anxiety disorder,Salma Khalid,1024567890,Intake44_Round3
192,Yara Khaled,Female,875392,32,yara.khaled@gmail.com,Hurghada,Al Horreya Street,55667,2012,1,1,,Hesham Ibrahim,1125678901,Intake44_Round3
193,Mohamed Saied,Male,683722,27,mohamed.saied@gmail.com,Alexandria,Sphinx Avenue,66778,2017,0,1,,Heba Kamal,1236789012,Intake44_Round3
194,Rania Mohiey,Female,784611,26,rania.mohiey@gmail.com,Giza,Tahrir Square,77889,2018,0,1,,Amr Ali,1137890123,Intake44_Round3
195,Ali Elsabaa,Male,946210,26,ali.elsabaa@gmail.com,Cairo,Saad Zaghloul Street,88990,2018,1,1,Food poisoning,Mona Sami,1124839234,Intake44_Round3
196,Safaa Mady,Female,228833,22,safaa.mady@gmail.com,Mansoura,Suez Canal Street,99001,2022,1,0,Anxiety disorder,Youssef Hassan,1038901234,Intake44_Round3
197,Mahmoud Hashla,Male,227733,22,mahmoud.hashla@gmail.com,Port Said,Nile Corniche,11223,2022,0,1,Anxiety disorder,Dina Ahmed,1249012345,Intake44_Round3
198,Marwa Abdelaal,Female,229955,22,marwa.abdelaal@gmail.com,Sohag,Al Gamaa Street,22334,2022,1,0,,Hassan Tarek,1014357351,Intake44_Round3
199,Islam Helal,Male,332268,23,islam.helal@gmail.com,Alexandria,El Mahalla Street,33445,2021,0,1,,Reham Mahmoud,1140123456,Intake44_Round3
200,Sarah Abdelkader,Female,234587,30,sarah.abdelkader@gmail.com,Assiut,Nile Corniche,44556,2014,1,1,Indigestion,Nada Ahmed,1237538527,Intake44_Round3
201,Adel Amin,Male,253981,29,adel.amin@gmail.com,Zagazig,Luxor Street,55667,2015,1,1,,Ahmed Saad,1041234567,Intake44_Round3
202,Abeer Abdelrahman,Female,385192,23,abeer.abdelrahman@gmail.com,Qena,Karnak Street,66778,2021,0,1,,Mariam Mostafa,1252345678,Intake44_Round3
203,Rahma Hassan,Female,754918,23,rahmahassan536@gmail.com,Luxor,Sheraton Street,77889,2022,1,1,,Mahmoud Ibrahim,1153456789,Intake44_Round3
204,Mariam Farag,Female,295817,25,fmarmar163@gmail.com,Hurghada,Al Horreya Street,88990,2019,0,1,,Yasmin Mohamed,1054567890,Intake44_Round3
205,Mohamed Farouk,Male,592835,27,mohamed.farouk@gmail.com,Alexandria,Sphinx Avenue,99001,2017,1,0,,Ali Ahmed,1166472753,Intake44_Round3
206,Gemiana Shawky,Female,515892,26,gemiana.shawky@gmail.com,Giza,Tahrir Square,11223,2018,0,1,,Samar Khalid,1265678901,Intake44_Round3
207,Ibrahim Miligy,Male,874196,24,ibrahim.miligy@gmail.com,Alexandria,Saad Zaghloul Street,22334,2020,1,0,,Karim Tarek,1166789012,Intake44_Round3
208,Aya Mahmoud,Female,871952,24,aya.mahmoud@gmail.com,Mansoura,Suez Canal Street,33445,2020,0,1,,Salma Mahmoud,1067890123,Intake44_Round3
209,Ammar Hassan,Male,699831,22,ammar.hassan@gmail.com,Port Said,Nile Corniche,44556,2022,1,0,,Khaled Ahmed,1278901234,Intake44_Round3
210,Rasha Abdullh,Female,526982,22,rasha.abdullh@gmail.com,Sohag,Al Gamaa Street,55667,2022,0,1,,Mona Samir,1045462746,Intake44_Round3
211,Mohamed Tag,Male,561991,26,mohamed.tag@gmail.com,Asyut,El Mahalla Street,66778,2018,1,1,,Youssef Hassan,1179012345,Intake44_Round3
212,Afnan Selem,Female,620781,25,afnan.selem@gmail.com,Zagazig,Corniche Road,77889,2019,0,0,,Dina Ahmed,1070123456,Intake44_Round3
213,Ahmed Hewade,Male,697666,24,ahmed.hewade@gmail.com,Fayoum,Corniche Road,88990,2020,1,1,,Hassan Tarek,1212345678,Intake44_Round3
214,Aghadeer  Ahmed,Female,666521,24,aghadeer.ahmed@gmail.com,Giza,Tahrir Street,99001,2020,1,1,,Reham Mahmoud,1113456789,Intake44_Round3
215,Ahmed Fares,Male,668256,23,ahmed.fares@gmail.com,Minya,Port Fouad Street,11223,2021,1,0,,Amir Abdelrahman,1204593829,Intake44_Round3
216,Samar Abdelnaser,Female,868772,23,samar.abdelnaser@gmail.com,Ismailia,Gharbeya Street,22334,2021,1,0,,Rania El-Adly,1024567890,Intake44_Round3
217,Karim Amr,Male,817875,32,karim.amr@gmail.com,Tanta,Masr Street,33445,2012,0,1,,Ahmad Saad,1125678901,Intake44_Round3
218,ReemFarouk,Female,784179,22,reem.farouk@gmail.com,Fayoum,Nile Corniche,44556,2022,0,1,,Marwa Hamed,1236789012,Intake44_Round3
219,Ahmed Gamal,Male,872988,23,ahmed.gamal@gmail.com,Aswan,Nasser Street,55667,2021,1,1,,Islam Hussein,1137890123,Intake44_Round3
220,Alaa Gamal,Female,989912,24,alaagelmelegy415@gmail.com,Cairo,Street 9,66778,2020,1,1,,Manal Tag,1124839234,Intake44_Round3
